timestamp_ms,timestamp_iso,symbol,maker_exchange,maker_bid,maker_ask,maker_mid,hl_bid,hl_ask,hl_mid,mid_spread,mid_spread_bps,buy_edge_bps,sell_edge_bps
1776115800694,2026-04-13T21:30:00.694533832+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.889,92.904,92.8965,0.4685000000000059,50.43247054517725,-51.51547606297619,49.08292430896442
1776115801694,2026-04-13T21:30:01.694129059+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.889,92.904,92.8965,0.4685000000000059,50.43247054517725,-51.51547606297619,49.08292430896442
1776115802694,2026-04-13T21:30:02.694433990+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115803694,2026-04-13T21:30:03.694594392+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115804693,2026-04-13T21:30:04.693912506+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.889,92.904,92.8965,0.4685000000000059,50.43247054517725,-51.51547606297619,49.08292430896442
1776115805694,2026-04-13T21:30:05.694035096+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115806694,2026-04-13T21:30:06.694624716+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.9,92.904,92.902,0.46300000000000807,49.83746313319499,-50.33736746278235,49.08292430896442
1776115807693,2026-04-13T21:30:07.693927412+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115808694,2026-04-13T21:30:08.694609684+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115809694,2026-04-13T21:30:09.694292054+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115810694,2026-04-13T21:30:10.694479124+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115811694,2026-04-13T21:30:11.694683520+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115812694,2026-04-13T21:30:12.694231102+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
1776115813693,2026-04-13T21:30:13.693992333+00:00,CLUSDT|xyz:CL,Binance,93.36,93.37,93.36500000000001,92.89,92.904,92.89699999999999,0.46800000000001774,50.37837605089699,-51.408375281139975,49.08292430896442
