timestamp_ms,timestamp_iso,symbol,maker_exchange,maker_bid,maker_ask,maker_mid,hl_bid,hl_ask,hl_mid,mid_spread,mid_spread_bps,buy_edge_bps,sell_edge_bps
1776166840668,2026-04-14T11:40:40.668478798+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.861,92.88,92.87049999999999,0.17450000000000898,18.789604879914396,-20.311660397634924,17.226528854436996
1776166841668,2026-04-14T11:40:41.668557282+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.861,92.885,92.873,0.17199999999999704,18.51991429155912,-20.311660397634924,16.687301501857256
1776166842668,2026-04-14T11:40:42.668235545+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.861,92.879,92.87,0.17499999999999716,18.843544739958773,-20.311660397634924,17.334381291788386
1776166843668,2026-04-14T11:40:43.668507600+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.862,92.88,92.871,0.1740000000000066,18.73566560067261,-20.204191295002946,17.226528854436996
1776166844668,2026-04-14T11:40:44.668076723+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.862,92.88,92.871,0.1740000000000066,18.73566560067261,-20.204191295002946,17.226528854436996
1776166845668,2026-04-14T11:40:45.668012722+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.862,92.885,92.8735,0.17149999999999466,18.465977916197264,-20.204191295002946,16.687301501857256
1776166846668,2026-04-14T11:40:46.668448374+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.862,92.883,92.8725,0.17249999999999943,18.573851247678206,-20.204191295002946,16.90298547635312
1776166847668,2026-04-14T11:40:47.668535062+00:00,CLUSDT|xyz:CL,Binance,93.04,93.05,93.045,92.862,92.88,92.871,0.1740000000000066,18.73566560067261,-20.204191295002946,17.226528854436996
1776166848668,2026-04-14T11:40:48.668794225+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.863,92.88,92.8715,0.1634999999999991,17.60497030843683,-19.02407566638077,16.149870801034204
1776166849668,2026-04-14T11:40:49.668238101+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.864,92.88,92.872,0.1629999999999967,17.551037987767756,-18.916595012897886,16.149870801034204
1776166850668,2026-04-14T11:40:50.668555086+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.864,92.88,92.872,0.1629999999999967,17.551037987767756,-18.916595012897886,16.149870801034204
1776166851668,2026-04-14T11:40:51.668311160+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.864,92.865,92.86449999999999,0.1705000000000041,18.360083777978033,-18.916595012897886,17.76772734614831
1776166852668,2026-04-14T11:40:52.668278073+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.86,92.868,92.864,0.17099999999999227,18.4140248104747,-19.346517626827904,17.44411422664493
1776166853668,2026-04-14T11:40:53.668008157+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.865,92.88,92.8725,0.16249999999999432,17.497106247812248,-18.809114359416526,16.149870801034204
1776166854668,2026-04-14T11:40:54.668015588+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.865,92.885,92.875,0.1599999999999966,17.227456258411475,-18.809114359416526,15.610701404962697
1776166855668,2026-04-14T11:40:55.668618264+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.865,92.885,92.875,0.1599999999999966,17.227456258411475,-18.809114359416526,15.610701404962697
1776166856668,2026-04-14T11:40:56.668423459+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.866,92.885,92.8755,0.1594999999999942,17.17352800254041,-18.701633705933638,15.610701404962697
1776166857667,2026-04-14T11:40:57.667992574+00:00,CLUSDT|xyz:CL,Binance,93.03,93.04,93.035,92.875,92.885,92.88,0.15500000000000114,16.688199827734834,-17.734307824592246,15.610701404962697
