timestamp,symbol,maker_exchange,side,size,price,notional_usd,order_id,client_order_id,source
2026-04-14T11:40:42.785229384+00:00,CLUSDT,Binance,SELL,0.9669101847872797,93.08,90.0,284246641,xl-4cab053d0acf43f68313b9081e8d747d,main_loop_limit_order_normal
2026-04-14T11:41:33.579526005+00:00,CLUSDT,Binance,SELL,0.9673258813413584,93.04,90.0,284250018,xl-77394cb54db44a229929efe827dda9ec,main_loop_limit_order_normal
2026-04-14T11:41:54.427505328+00:00,CLUSDT,Binance,SELL,0.9678460049467685,92.99,90.0,284251628,xl-223fce32528a4e7f9b36152022e6d6af,main_loop_limit_order_normal
2026-04-14T11:42:07.224121742+00:00,CLUSDT,Binance,SELL,0.9674298613350532,93.03,90.0,284253614,xl-469fab03534c4e388913e0901e62c5cb,main_loop_limit_order_normal
2026-04-14T11:42:12.576715822+00:00,CLUSDT,Binance,SELL,0.9681583476764198,92.96000000000001,90.0,284254867,xl-06c2d4596b5e4c44ae2081036a3c5f11,main_loop_limit_order_normal
2026-04-14T11:42:38.476090032+00:00,CLUSDT,Binance,SELL,0.9684708920692994,92.93,90.0,284258143,xl-c945823fcd114b02860d8338f6c2b43d,main_loop_limit_order_normal
2026-04-14T11:44:19.023950729+00:00,CLUSDT,Binance,SELL,0.9676378883990968,93.01,90.0,284269217,xl-8b5ed23e2f834eb7a0a2b9460223c9d6,main_loop_limit_order_normal
2026-04-14T11:44:41.327004884+00:00,CLUSDT,Binance,SELL,0.9672219236969372,93.05,90.0,284271251,xl-884802c2eb484fbcbe4c4bda74f4c805,main_loop_limit_order_normal
2026-04-14T11:45:09.374851795+00:00,CLUSDT,Binance,SELL,0.9676378883990968,93.01,90.0,284274971,xl-83312b7f10f3483e8abacee7003ee7d1,main_loop_limit_order_normal
2026-04-14T11:48:03.726345179+00:00,CLUSDT,Binance,SELL,0.9669101847872797,93.08,90.0,284290683,xl-795fd5a5364042f2bac856aa2a731317,main_loop_limit_order_normal
2026-04-14T11:48:23.025649864+00:00,CLUSDT,Binance,SELL,0.9672219236969372,93.05,90.0,284292328,xl-1584cf0a9a394b22bb1b39c65d3421bd,main_loop_limit_order_normal
2026-04-14T11:49:20.674519676+00:00,CLUSDT,Binance,SELL,0.9676378883990968,93.01,90.0,284295953,xl-52c93636931d41629b804f93f52b6fe7,main_loop_limit_order_normal
2026-04-14T11:51:12.275038614+00:00,CLUSDT,Binance,SELL,0.9683666881859264,92.94,90.0,284311900,xl-3395d9dfa8c844e4868c440422189979,main_loop_limit_order_normal
2026-04-14T11:52:33.075040714+00:00,CLUSDT,Binance,SELL,0.9678460049467685,92.99,90.0,284318509,xl-7b64fc8014df4802a55fcc1e376ddc46,main_loop_limit_order_normal
2026-04-14T11:52:36.126340942+00:00,CLUSDT,Binance,SELL,0.9678460049467685,92.99,90.0,284318573,xl-2041324be6904dc7a120d9669ae45d2b,main_loop_limit_order_normal
2026-04-14T11:52:54.775510774+00:00,CLUSDT,Binance,SELL,0.9683666881859264,92.94,90.0,284319953,xl-0b5eaae5a5d14ed09a856b9be435de72,main_loop_limit_order_normal
2026-04-14T11:52:57.824980486+00:00,CLUSDT,Binance,SELL,0.9683666881859264,92.94,90.0,284320140,xl-b633cbe52c174ced8c629a3b705f0a01,main_loop_limit_order_normal
2026-04-14T11:55:09.324489398+00:00,CLUSDT,Binance,SELL,0.9668063164679342,93.09,90.0,284329703,xl-ba3a6cf2ef504b79bd9b7b740947175d,main_loop_limit_order_normal
2026-04-14T11:57:13.374414487+00:00,CLUSDT,Binance,SELL,0.9664948453608248,93.12,90.0,284342710,xl-ce81b33fc04745d09e4dc4cd1a5a9c47,main_loop_limit_order_normal
